criativo,fal_USD,openrouter_USD_incl_rateio_QA,eleven_creditos,eleven_USD_estimado,producao_ajustes_USD_estimado
M01,7.526000000000001,0.004858622999999999,1094.0,0.21880000000000002,7.749658623
M02,6.125,0.021801582,1185.0,0.23700000000000002,6.383801582
M03,16.175,0.07309001700000001,3007.0,0.6014,16.849490017
M04,17.759999999999998,0.082449477,3984.0,0.7968000000000001,18.639249477
M05,2.09,0.013659227999999999,422.0,0.0844,2.1880592279999997
M06,4.88,0.027951561,582.0,0.1164,5.024351561
M07,5.2,0,1336.0,0.2672,5.4672
M08,14.755,0.013297,1568.0,0.3136,15.081897
M09,8.904,0,1654.0,0.33080000000000004,9.2348
M10,0.708,0,0,0.0,1.2879999999999998
TESTES (separados),6.7266,0.036018081,1362,0.27240000000000003,8.050018081000001
